key,fr,en,es,it,pt
menu.title,Management du Club,Club Management,Gestión del Club,Gestione del Club,Gestão do Clube
menu.play,Match,Match,Partido,Partita,Partida
menu.back,Retour,Back,Atrás,Indietro,Voltar
menu.mercato,Mercato,Market,Mercado,Mercato,Mercado
menu.finances,Finances,Finances,Finanzas,Finanze,Finanças
menu.sponsors,Sponsors,Sponsors,Patrocinadores,Sponsor,Patrocinadores
STADIUM_RESUME,Reprendre la partie,Resume,Reanudar,Riprendi,Rettomare
STADIUM_SIGNUP,S'inscrire / Créer son équipe,Sign up / Create team,Registrarse / Crear equipo,Iscriversi / Creare squadra,Inscrever / Criar equipa
TEAMNAME_TITLE,Choisis le nom de ton équipe,Choose your team name,Elige el nombre de tu equipo,Scegli il nome della tua squadra,Escolhe o nome da tua equipa
TEAMNAME_CREATE,Créer son équipe,Create team,Crear equipo,Crea squadra,Criar equipa
BTN_BACK,Retour,Back,Atrás,Indietro,Voltar
BTN_ADD,Ajouter,Add,Añadir,Aggiungi,Adicionar
BTN_REMOVE,Retirer,Remove,Quitar,Rimuovi,Remover
BTN_VALIDATE_SELECTION,Valider sélection,Confirm selection,Validar selección,Conferma selezione,Validar seleção
LABEL_JOURNEE,Journée,Matchday,Jornada,Giornata,Jornada
LABEL_MANAGEMENT,Management du Club,Club Management,Gestión del Club,Gestione del Club,Gestão do Clube
BTN_BACK_LOGIN,Retour Login,Back to Login,Volver a Login,Torna al Login,Voltar ao Login
teamname.title,Choisis le nom de ton équipe,Choose your team name,Elige el nombre de tu equipo,Scegli il nome della tua squadra,Escolhe o nome da tua equipa
teamname.create,Créer son équipe,Create team,Crear equipo,Crea squadra,Criar equipa
teamname.back,Retour,Back,Atrás,Indietro,Voltar
player.add,Ajouter,Add,Añadir,Aggiungi,Adicionar
player.remove,Retirer,Remove,Quitar,Rimuovi,Remover
selection.validate,Valider sélection,Confirm selection,Validar selección,Conferma selezione,Validar seleção
selection.selected,Sélectionnés:,Selected:,Seleccionados:,Selezionati:,Selecionados:
,,,,,
selection.title,Sélectionne 8 joueurs,Select 8 players,Selecciona 8 jugadores,Seleziona 8 giocatori,Seleciona 8 jogadores
menu.day_progress,Journée {j} | {w}V-{l}D,Day {j} | {w}W-{l}L,Jornada {j} | {w}V-{l}D,Giornata {j} | {w}V-{l}S,Jornada {j} | {w}V-{l}D
menu.title_with_club,Management du Club : {club},Club Management: {club},Gestión del Club: {club},Gestione del Club: {club},Gestão do Clube: {club}
menu.back_login,Retour Login,Back to Login,Volver al Login,Torna al Login,Voltar ao Login
menu.day,Journée,Day,Jornada,Giornata,Jornada
matchsim.team_default,Mon équipe,My team,Mi equipo,La mia squadra,Minha equipe
matchsim.opponent_default,Adversaire,Opponent,Rival,Avversario,Adversário
matchsim.result_win,Victoire !,Win!,¡Victoria!,Vittoria!,Vitória!
matchsim.result_loss,Défaite,Loss,Derrota,Sconfitta,Derrota
matchsim.result_draw,Match nul,Draw,Empate,Pareggio,Empate
matchsim.end_prefix,Fin du match :,End of game:,Fin del partido:,Fine partita:,Fim do jogo:
matchsim.summary_draw,Match équilibré; échanges de paniers; suspense jusqu’au buzzer final.,Tight game; trading baskets; suspense until the final buzzer.,Partido igualado; intercambio de canastas; suspense hasta el final.,Gara equilibrata; scambi di canestri; suspense fino alla sirena.,Jogo equilibrado; troca de cestas; suspense até ao buzzer final.
matchsim.summary_comeback_win,Après une première mi-temps difficile; superbe retour et victoire au caractère.,After a tough first half; great comeback and a win with grit.,Tras una mala primera parte; gran reacción y victoria con carácter.,Dopo un primo tempo difficile; rimonta splendida e vittoria di carattere.,Após uma primeira parte difícil; grande reação e vitória com garra.
matchsim.summary_comeback_loss,Bon départ; puis baisse d’intensité; l’adversaire renverse le match en fin.,Strong start; then intensity drops; opponent turns it late.,Buen inicio; luego baja la intensidad; el rival remonta al final.,Buona partenza; poi calo d’intensità; l’avversario ribalta nel finale.,Bom início; depois queda de intensidade; o rival vira no fim.
matchsim.summary_win_close,Match serré; victoire au mental; défense solide et paniers décisifs en fin.,Close game; tough win; solid defense and clutch buckets late.,Partido ajustado; victoria mental; defensa firme y canastas decisivas al final.,Match tirato; vittoria di cuore; difesa solida e canestri decisivi nel finale.,Jogo apertado; vitória na raça; defesa firme e cestas decisivas no fim.
matchsim.summary_win_big,Victoire nette; rythme élevé; domination au rebond et adresse constante.,Big win; high pace; rebounding edge and steady shooting all game.,Victoria clara; ritmo alto; dominio del rebote y acierto constante.,Vittoria netta; ritmo alto; dominio a rimbalzo e buona precisione costante.,Vitória clara; ritmo alto; domínio nos ressaltos e bom aproveitamento constante.
matchsim.summary_win_control,Victoire maîtrisée; bonne adresse; rotations efficaces et défense solide.,Controlled win; good shooting; effective rotations and steady defense.,Victoria controlada; buen acierto; rotaciones eficaces y defensa sólida.,Vittoria gestita; buona precisione; rotazioni efficaci e difesa solida.,Vitória controlada; bom aproveitamento; rotações eficazes e defesa firme.
matchsim.summary_loss_close,Défaite frustrante; match accroché; quelques pertes de balle coûtent cher.,Frustrating loss; tight game; a few turnovers prove costly.,Derrota frustrante; partido ajustado; algunas pérdidas cuestan caro.,Sconfitta amara; gara equilibrata; alcune palle perse pesano.,Derrota frustrante; jogo apertado; alguns erros custam caro.
matchsim.summary_loss_big,Défaite lourde; manque d’adresse; trop d’erreurs et rival plus intense.,Heavy loss; poor shooting; too many mistakes and a more intense opponent.,Derrota dura; poco acierto; demasiados errores y rival más intenso.,Sconfitta pesante; poca precisione; troppi errori e avversario più intenso.,Derrota pesada; baixo aproveitamento; muitos erros e rival mais intenso.
matchsim.summary_loss_normal,Défaite logique; trop d’irrégularité; rythme subi et difficulté à conclure.,Fair loss; inconsistency; tempo against us and trouble finishing possessions.,Derrota lógica; irregularidad; ritmo en contra y dificultad para cerrar posesiones.,Sconfitta meritata; incostanza; ritmo subito e difficoltà a chiudere i possessi.,Derrota justa; irregularidade; ritmo contra e dificuldade em concluir posses.
matchsim.summary_default,Match intense; rythme soutenu; quelques tournants clés font la différence aujourd’hui.,Intense game; high pace; key moments made the difference today.,Partido intenso; ritmo alto; momentos clave marcaron la diferencia hoy.,Partita intensa; ritmo alto; episodi chiave hanno fatto la differenza oggi.,Jogo intenso; ritmo alto; momentos-chave fizeram a diferença hoje.
matchsim.summary_win_normal,Victoire maîtrisée; bonne adresse; rotations efficaces et défense solide.,Controlled win; good shooting; effective rotations and steady defense.,Victoria controlada; buen acierto; rotaciones eficaces y defensa sólida.,Vittoria gestita; buona precisione; rotazioni efficaci e difesa solida.,Vitória controlada; bom aproveitamento; rotações eficazes e defesa firme.
matchsim.stats_2p,% tirs 2 pts,2PT FG%,% tiros 2 pts,% tiri 2 pt,% lances 2 pts
matchsim.stats_3p,% tirs 3 pts,3PT FG%,% tiros 3 pts,% tiri 3 pt,% lances 3 pts
matchsim.stats_mvp,MVP du match,Game MVP,MVP del partido,MVP della partita,MVP do jogo
matchsim.mvp_home_fallback,Joueur,Player,Jugador,Giocatore,Jogador
matchsim.mvp_home_short,—,—,—,—,—
,,,,,
matchsim.btn_skip,Passer,Skip,Saltar,Salta,Passar
season.btn_play_match,Jouer le match,Play match,Jugar el partido,Gioca la partita,Jogar a partida
stadium.title,Stadium,Stadium,,,
stadium.tab.shop,Boutique,Shop,Tienda,Negozio,Loja
stadium.tab.ticketing,Billetterie,Ticketing,Entradas,Biglietteria,Bilheteria
stadium.tab.cafe,Cafétéria,Cafeteria,,,
stadium.tab.upgrade,Évolution Stade,Stadium Upgrade,Mejora del estadio,Evoluzione stadio,Evolução do estádio
stadium.ticketing.title,Billetterie,Ticketing,,,
stadium.ticketing.col.category,Cat.,Cat.,,,
stadium.ticketing.col.price,Prix,Price,,,
stadium.ticketing.col.seats,Places,Seats,,,
stadium.ticketing.cat.a,A,A,,,
stadium.ticketing.cat.b,B,B,,,
stadium.ticketing.cat.c,C,C,,,
stadium.ticketing.total,Total,Total,,,
menu.tab.club,Club,Club,Club,Club,Club
menu.tab.ranking,Classement,Ranking,Clasificación,Classifica,Classificação
ranking.title,Classement mondial — Winrate,World Ranking — Winrate,Ranking mundial — Winrate,Classifica mondiale — Winrate,Ranking mundial — Winrate
ranking.col.rank,#,#,#,#,#
ranking.col.club,Nom du Club,Club Name,Nombre del club,Nome del club,Nome do clube
ranking.col.winrate,Winrate,Winrate,Winrate,Winrate,Winrate
ranking.col.titles,Titres,Titles,Títulos,Titoli,Títulos
ranking.col.level,Niveau,Level,Nivel,Livello,Nível
ranking.loading,Chargement…,Loading…,Cargando…,Caricamento…,Carregando…
ranking.me_suffix,(Moi),(Me),(Yo),(Io),(Eu)
ranking.invalid_json,JSON invalide,Invalid JSON,JSON inválido,JSON non valido,JSON inválido
ranking.http_error_prefix,Erreur: ,Error: ,Error: ,Errore: ,Erro: 

menu.btn_save,Sauvegarder,Save,Guardar,Salva,Guardar
menu.save_ok,Sauvegarde OK,Save OK,Guardado correcto,Salvataggio OK,Guardado OK
saison.tab.standings,Classement,Standings,Clasificación,Classifica,Classificação
saison.tab.stats,Statistiques,Stats,Estadísticas,Statistiche,Estatísticas
saison.tab.calendar,Calendrier,Calendar,Calendario,Calendario,Calendário
saisons.tab.standings,Classement,Standings,Clasificación,Classifica,Classificação
saisons.tab.stats,Statistiques,Stats,Estadísticas,Statistiche,Estatísticas
saisons.tab.calendar,Calendrier,Calendar,Calendario,Calendario,Calendário

saison.tab.missions,Missions,Missions,Misiones,Missioni,Missões
saison.tab.tournois,Tournois,Tournaments,Torneos,Tornei,Torneios
popup_intro_title,>> Bienvenue dans Basket Manager,>> Welcome to Basket Manager,>> Bienvenido a Basket Manager,>> Benvenuto in Basket Manager,>> Bem-vindo ao Basket Manager
popup_intro_build_title,🏟 Construisez votre club,🏟 Build your club,🏟 Construye tu club,🏟 Costruisci il tuo club,🏟 Construa seu clube
popup_intro_build_body,Gérez votre effectif, vos finances (budget, solde...) et votre stade (boutique, billetterie...).,Manage your roster, finances (budget, balance...) and stadium (shop, ticketing...).,Gestiona tu plantilla, tus finanzas (presupuesto, saldo...) y tu estadio (tienda, taquilla...).,Gestisci il tuo roster, le finanze (budget, saldo...) e lo stadio (negozio, biglietteria...).,Gerencie seu elenco, suas finanças (orçamento, saldo...) e seu estádio (loja, bilheteria...).
popup_intro_decisions_title,📊 Prenez les bonnes décisions,📊 Make the right decisions,📊 Toma las decisiones correctas,📊 Prendi le decisioni giuste,📊 Tome as decisões certas
popup_intro_decisions_body,Recrutez des joueurs, développez votre popularité : plus elle est élevée, plus les spectateurs viendront au stade.,Recruit players, grow your popularity: the higher it is, the more spectators will come to the stadium.,Ficha jugadores y aumenta tu popularidad: cuanto más alta sea, más espectadores vendrán al estadio.,Ingaggia giocatori e aumenta la tua popolarità: più è alta, più spettatori verranno allo stadio.,Contrate jogadores e aumente sua popularidade: quanto mais alta ela for, mais espectadores virão ao estádio.
popup_intro_sim_title,>> Les matchs sont simulés,>> Matches are simulated,>> Los partidos se simulan,>> Le partite sono simulate,>> As partidas são simuladas
popup_intro_sim_body,Développez votre équipe : votre stratégie et votre effectif déterminent le résultat.,Develop your team: your strategy and squad determine the result.,Desarrolla tu equipo: tu estrategia y tu plantilla determinan el resultado.,Sviluppa la tua squadra: la tua strategia e la tua rosa determinano il risultato.,Desenvolva sua equipe: sua estratégia e seu elenco determinam o resultado.
popup_intro_close,Fermer,Close,Cerrar,Chiudi,Fechar
popup_intro_dont_show,Ne plus afficher,Don't show again,No mostrar de nuevo,Non mostrare più,Não mostrar novamente
popup_match_title,Journée de match,Welcome to Match Day,Día de partido,Giorno della partita,Dia de jogo
popup_match_play_title,>> Lancez vos matchs,>> Launch your matches,>> Lanza tus partidos,>> Avvia le partite,>> Lance suas partidas
popup_match_play_body,Suivez le déroulement du match avec un résultat visuel en temps réel.,Watch the game unfold with live visual results.,Sigue el partido con resultados visuales en tiempo real.,Segui la partita con risultati visivi in tempo reale.,Acompanhe a partida com resultados visuais em tempo real.
